"Email Address","First Name","Last Name",Website,"Company Name",MEMBER_RATING,OPTIN_TIME,OPTIN_IP,CONFIRM_TIME,CONFIRM_IP,LATITUDE,LONGITUDE,GMTOFF,DSTOFF,TIMEZONE,CC,REGION,LAST_CHANGED,LEID,EUID,NOTES
info@jewsnews.co.il,,,jewsnews.co.il,,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911733,6a0f3ab2d5,
editor@caughtoffside.com,,,caughtoffside.com,,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911741,9225adafaf,
dmca@mrstiff.com,,,mrstiff.com,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911745,99c9474f8f,
mfanning@idgenterprise.com,,,networkworld.com,"Network World",2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911749,d0b1af2d5d,
chelsea@vancitybuzz.com,,,vancitybuzz.com,VancityBuzz,2,,,"2014-10-28 15:38:48",,33.8267000,-84.3217000,-5,-4,America/Kentucky/Monticello,US,GA,"2014-10-28 15:38:48",204911753,98f2875beb,
customerservice@techhive.com,,,techhive.com,"3D BLU-RAY RENTAL, INC.",2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911761,87148ee82f,
info@grokbase.com,,,grokbase.com,,1,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-31 17:14:25",204911765,d6f6489b3d,
sports@politicususa.com,,,politicususa.com,,2,,,"2014-10-28 15:38:48",,37.4055000,-122.0780000,-8,-7,America/Los_Angeles,US,CA,"2014-10-28 15:38:48",204911769,fd0edfa05e,
tips@betabeat.com,,,betabeat.com,betabeat,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911773,bde0beead5,
info@en.rocketnews24.com,,,en.rocketnews24.com,RocketNews24,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911777,1e7117ca96,
sales@pinknews.co.uk,,,pinknews.co.uk,pinknews,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911781,61f094217a,
crazygamesdotcom@gmail.com,,,crazygames.com,CrazyGames,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911785,324b920cb6,
competitions@kitguru.net,,,kitguru.net,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911789,0006694603,
kevin@incompetech.com,,,incompetech.com,,2,,,"2014-10-28 15:38:48",,40.8302000,-73.9068000,-5,-4,America/New_York,US,NY,"2014-10-28 15:38:48",204911793,70a4021f80,
team@fontfabric.com,,,fontfabric.com,,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911805,522c2b8d72,
editor@knoji.com,,,knoji.com,Knoji,1,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 17:14:22",204911809,8e6c992093,
tips@eagnews.org,,,eagnews.org,,2,,,"2014-10-28 15:38:48",,41.6727000,-86.9736000,-5,-4,America/Indiana/Indianapolis,US,IN,"2014-10-28 15:38:48",204911813,66c05dfa0b,
service@ford-trucks.com,,,ford-trucks.com,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911817,b1bf771f76,
contact@interestingengineering.com,,,interestingengineering.com,,2,,,"2014-10-28 15:38:48",,40.8920000,-74.1313000,-5,-4,America/New_York,US,NJ,"2014-10-28 15:38:48",204911821,2833883545,
thankyou@dailypaul.com,,,dailypaul.com,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911829,69b01dacff,
info@medicalxpress.com,,,medicalxpress.com,"Medical Xpress",2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911833,3a0f0baba9,
paulr@digitalmusicnews.com,,,digitalmusicnews.com,"Digital Music News",2,,,"2014-10-28 15:38:48",,37.3530000,-121.9580000,-8,-7,America/Los_Angeles,US,CA,"2014-10-28 15:38:48",204911837,81d4d9bc06,
info@dathost.net,,,dathost.net,,2,,,"2014-10-28 15:38:48",,37.4055000,-122.0780000,-8,-7,America/Los_Angeles,US,CA,"2014-10-28 15:38:48",204911849,99d6118ad4,
chris@forums.corvetteforum.com,,,forums.corvetteforum.com,"D RACING ENTERPRISE",1,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-31 16:56:38",204911853,c314e57c35,
help@pushsquare.com,,,pushsquare.com,"FREE RADICAL FEATURES",1,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 17:54:09",204911857,1ea0088ede,
sales@waterfordwhispersnews.com,,,waterfordwhispersnews.com,,2,,,"2014-10-28 15:38:48",,53.3439000,-6.2687100,0,1,Atlantic/Faroe,IE,D,"2014-10-28 15:38:48",204911861,4627b21238,
info@sickchirpse.com,,,sickchirpse.com,,2,,,"2014-10-28 15:38:48",,51.4786000,-0.0523100,0,1,Atlantic/Faroe,UK,SWK,"2014-10-28 15:38:48",204911865,d1d41f9f79,
pictures@mugshots.com,,,mugshots.com,,1,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-31 17:28:30",204911869,b7dd788228,
szerk@boon.hu,,,boon.hu,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911873,bb8fc598b7,
Chris@soulspottv.com,,,soulspottv.com,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911877,0e0c3c04de,
bigwords@bigwords.com,,,bigwords.com,BIGWORDS.com,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:48",204911881,06dedd5537,
info@3dprint.com,,,3dprint.com,,2,,,"2014-10-28 15:38:48",,,,,,,,,"2014-10-28 15:38:49",204911885,da8675dcca,
